time	task_A_1	task_B_1	task_B_2	task_B_3	voter	task_C_1
110398	57	86	48	115	6	79
110578	57	87	48	115	6	79
111783	57	87	49	115	6	79
111794	57	87	50	115	6	79
111805	57	87	51	115	6	79
111958	58	87	51	115	6	79
111969	59	87	51	115	6	79
113190	59	87	52	115	6	79
113239	59	87	52	115	6	80
113391	59	87	52	116	6	80
113592	59	88	52	116	6	80
113603	59	89	52	116	6	80
113614	59	90	52	116	6	80
113625	59	90	52	116	6	81
114772	60	90	52	116	6	81
114783	61	90	52	116	6	81
114795	62	90	52	116	6	81
114825	62	90	52	116	7	81
115014	62	90	53	116	7	81
116205	62	91	53	116	7	81
116260	62	91	53	116	7	82
116406	62	91	53	117	7	82
116417	62	91	53	118	7	82
116428	62	91	53	119	7	82
116607	62	92	53	119	7	82
116618	62	93	53	119	7	82
117629	62	93	53	120	7	82
117813	62	94	53	120	7	82
117824	62	95	53	120	7	82
117875	62	95	53	120	7	83
118019	62	95	53	121	7	83
119220	62	96	53	121	7	83
119272	62	96	53	121	7	84
119283	62	96	53	121	7	85
119430	62	96	53	122	7	85
119622	62	97	53	122	7	85
120828	62	97	54	122	7	85
120839	62	97	55	122	7	85
120850	62	97	56	122	7	85
121011	63	97	56	122	7	85
121022	64	97	56	122	7	85
121033	65	97	56	122	7	85
121064	65	97	56	122	8	85
122209	66	97	56	122	8	85
122220	67	97	56	122	8	85
122231	68	97	56	122	8	85
122262	68	97	56	122	9	85
122436	68	97	57	122	9	85
122447	68	97	58	122	9	85
122459	68	97	59	122	9	85
122611	69	97	59	122	9	85
122623	70	97	59	122	9	85
122634	71	97	59	122	9	85
122664	71	97	59	122	9	86
123843	71	97	60	122	9	86
124018	72	97	60	122	9	86
125250	72	97	61	122	9	86
125425	73	97	61	122	9	86
125652	73	97	61	123	9	86
125663	73	97	61	124	9	86
125674	73	97	61	125	9	86
126858	73	97	62	125	9	86
126904	73	97	62	125	9	87
127060	73	97	62	126	9	87
128265	73	98	62	126	9	87
128276	73	99	62	126	9	87
128287	73	100	62	126	9	87
128298	73	100	62	126	9	88
128309	73	100	62	126	9	89
128466	73	100	62	127	9	89
128477	73	100	62	128	9	89
128488	73	100	62	129	9	89
128667	73	101	62	129	9	89
128723	73	101	62	129	9	90
129847	74	101	62	129	9	90
129858	75	101	62	129	9	90
129869	76	101	62	129	9	90
129900	76	101	62	129	10	90
130074	76	101	63	129	10	90
130124	76	101	63	129	10	91
131280	76	101	63	130	10	91
131292	76	101	63	131	10	91
131481	76	102	63	131	10	91
131492	76	103	63	131	10	91
131544	76	103	63	131	10	92
131682	76	103	63	132	10	92
132888	76	103	63	133	10	92
133089	76	104	63	133	10	92
133100	76	105	63	133	10	92
133156	76	105	63	133	10	93
133167	76	105	63	133	10	94
134295	76	106	63	133	10	94
134306	76	107	63	133	10	94
134317	76	108	63	133	10	94
134328	76	108	63	133	10	95
134339	76	108	63	133	10	96
134496	76	108	63	134	10	96
134697	76	109	63	134	10	96
135885	77	109	63	134	10	96
136104	77	109	63	135	10	96
136115	77	109	63	136	10	96
136126	77	109	63	137	10	96
137310	77	109	64	137	10	96
137359	77	109	64	137	10	97
137511	77	109	64	138	10	97
137522	77	109	64	139	10	97
137712	77	110	64	139	10	97
138918	77	111	64	139	10	97
138929	77	112	64	139	10	97
138940	77	113	64	139	10	97
138951	77	113	64	139	10	98
138962	77	113	64	139	10	99
139119	77	113	64	140	10	99
140299	78	113	64	140	10	99
140526	78	113	64	141	10	99
140728	78	114	64	141	10	99
141777	78	114	64	141	10	100
141933	78	114	64	142	10	100
141944	78	114	64	143	10	100
141955	78	114	64	144	10	100
142134	78	115	64	144	10	100
142145	78	116	64	144	10	100
142156	78	117	64	144	10	100
142167	78	117	64	144	10	101
143340	78	117	64	145	10	101
143351	78	117	64	146	10	101
143362	78	117	64	147	10	101
143541	78	118	64	147	10	101
143593	78	118	64	147	10	102
143742	78	118	64	148	10	102
143753	78	118	64	149	10	102
143764	78	118	64	150	10	102
144957	78	119	64	150	10	102
145013	78	119	64	150	10	103
145149	78	119	64	151	10	103
146329	79	119	64	151	10	103
146556	79	119	64	152	10	103
146757	79	120	64	152	10	103
147777	79	120	64	153	10	103
147963	79	121	64	153	10	103
147974	79	122	64	153	10	103
147985	79	123	64	153	10	103
147996	79	123	64	153	10	104
148164	79	123	64	154	10	104
149370	79	123	64	155	10	104
149381	79	123	64	156	10	104
149392	79	123	64	157	10	104
149571	79	124	64	157	10	104
149629	79	124	64	157	10	105
149640	79	124	64	157	10	106
149651	79	124	64	157	10	107
149772	79	124	64	158	10	107
150778	79	125	64	158	10	107
150835	79	125	64	158	10	108
150992	79	125	64	159	10	108
151153	80	125	64	159	10	108
151165	81	125	64	159	10	108
151176	82	125	64	159	10	108
152385	82	125	64	160	10	108
152586	82	126	64	160	10	108
152597	82	127	64	160	10	108
152608	82	128	64	160	10	108
152658	82	128	64	160	10	109
152669	82	128	64	160	10	110
153792	82	129	64	160	10	110
153854	82	129	64	160	10	111
153993	82	129	64	161	10	111
154203	82	130	64	161	10	111
154252	82	130	64	161	10	112
154263	82	130	64	161	10	113
154274	82	130	64	161	10	114
155405	82	130	64	162	10	114
155416	82	130	64	163	10	114
155428	82	130	64	164	10	114
155601	82	131	64	164	10	114
155657	82	131	64	164	10	115
155668	82	131	64	164	10	116
156807	82	131	65	164	10	116
156818	82	131	66	164	10	116
156829	82	131	67	164	10	116
156990	83	131	67	164	10	116
157209	83	131	67	165	10	116
158415	83	131	67	166	10	116
158590	84	131	67	166	10	116
159822	84	131	67	167	10	116
160023	84	132	67	167	10	116
160077	84	132	67	167	10	117
160239	84	132	68	167	10	117
160250	84	132	69	167	10	117
160261	84	132	70	167	10	117
161430	84	133	70	167	10	117
161480	84	133	70	167	10	118
161631	84	133	70	168	10	118
162837	84	134	70	168	10	118
162848	84	135	70	168	10	118
162859	84	136	70	168	10	118
162940	84	136	70	168	10	119
162952	84	136	70	168	10	120
162964	84	136	70	168	10	121
163038	84	136	70	169	10	121
163049	84	136	70	170	10	121
163060	84	136	70	171	10	121
163256	84	137	70	171	10	121
163267	84	138	70	171	10	121
163279	84	139	70	171	10	121
164445	84	140	70	171	10	121
164456	84	141	70	171	10	121
164505	84	141	70	171	10	122
164660	84	141	70	172	10	122
165852	84	141	71	172	10	122
165863	84	141	72	172	10	122
166027	85	141	72	172	10	122
166254	85	141	72	173	10	122
166265	85	141	72	174	10	122
167460	85	141	73	174	10	122
167471	85	141	74	174	10	122
167635	86	141	74	174	10	122
167646	87	141	74	174	10	122
167657	88	141	74	174	10	122
167688	88	141	74	174	10	123
168867	88	142	74	174	10	123
168919	88	142	74	174	10	124
169068	88	142	74	175	10	124
169079	88	142	74	176	10	124
169090	88	142	74	177	10	124
169286	88	143	74	177	10	124
169311	88	143	74	177	10	125
170449	89	143	74	177	10	125
170461	90	143	74	177	10	125
170676	90	143	74	178	10	125
171882	90	143	75	178	10	125
172057	91	143	75	178	10	125
172284	91	143	75	179	10	125
173491	91	143	76	179	10	125
173665	92	143	76	179	10	125
173676	93	143	76	179	10	125
173687	94	143	76	179	10	125
173718	94	143	76	179	10	126
173729	94	143	76	179	10	127
174897	94	143	76	180	10	127
174908	94	143	76	181	10	127
175098	94	144	76	181	10	127
175109	94	145	76	181	10	127
175120	94	146	76	181	10	127
175172	94	146	76	181	10	128
175183	94	146	76	181	10	129
175195	94	146	76	181	10	130
175299	94	146	76	182	10	130
176519	94	146	76	183	10	130
176707	94	147	76	183	10	130
176718	94	148	76	183	10	130
176767	94	148	76	183	10	131
176778	94	148	76	183	10	132
176789	94	148	76	183	10	133
177912	94	148	77	183	10	133
177962	94	148	77	183	10	134
177974	94	148	77	183	10	135
178127	94	148	77	184	10	135
178138	94	148	77	185	10	135
178314	94	149	77	185	10	135
178325	94	150	77	185	10	135
179520	94	151	77	185	10	135
179531	94	152	77	185	10	135
179587	94	152	77	185	10	136
179598	94	152	77	185	10	137
179609	94	152	77	185	10	138
179721	94	152	77	186	10	138
180927	94	152	78	186	10	138
180977	94	152	78	186	10	139
180988	94	152	78	186	10	140
180999	94	152	78	186	10	141
181128	94	152	78	187	10	141
181139	94	152	78	188	10	141
181330	94	153	78	188	10	141
181341	94	154	78	188	10	141
182535	94	154	79	188	10	141
182584	94	154	79	188	10	142
182595	94	154	79	188	10	143
182736	94	154	79	189	10	143
182747	94	154	79	190	10	143
182758	94	154	79	191	10	143
183916	95	154	79	191	10	143
183927	96	154	79	191	10	143
183938	97	154	79	191	10	143
184144	97	154	79	192	10	143
184344	97	155	79	192	10	143
185524	98	155	79	192	10	143
185535	99	155	79	192	10	143
185765	99	155	79	193	10	143
185776	99	155	79	194	10	143
185788	99	155	79	195	10	143
186957	99	155	80	195	10	143
186968	99	155	81	195	10	143
187140	100	155	81	195	10	143
187373	100	155	81	196	10	143
187384	100	155	81	197	10	143
187395	100	155	81	198	10	143
188565	100	156	81	198	10	143
188620	100	156	81	198	10	144
188781	100	156	82	198	10	144
189946	101	156	82	198	10	144
190173	101	156	82	199	10	144
190375	101	157	82	199	10	144
190386	101	158	82	199	10	144
190397	101	159	82	199	10	144
191401	101	159	82	200	10	144
191581	101	160	82	200	10	144
191592	101	161	82	200	10	144
191603	101	162	82	200	10	144
191614	101	162	82	200	10	145
191781	101	162	82	201	10	145
191792	101	162	82	202	10	145
192987	101	162	83	202	10	145
192998	101	162	84	202	10	145
193009	101	162	85	202	10	145
193162	102	162	85	202	10	145
193389	102	162	85	203	10	145
193400	102	162	85	204	10	145
194421	102	162	85	204	11	145
194595	102	162	86	204	11	145
194645	102	162	86	204	11	146
194796	102	162	87	204	11	146
194807	102	162	88	204	11	146
196016	102	162	88	205	11	146
196203	102	163	88	205	11	146
196230	102	163	88	205	11	147
196241	102	163	88	205	11	148
196252	102	163	88	205	11	149
197420	102	163	89	205	11	149
197584	103	163	89	205	11	149
197825	103	163	89	206	11	149
197836	103	163	89	207	11	149
197847	103	163	89	208	11	149
198991	104	163	89	208	11	149
199218	104	163	89	209	11	149
199229	104	163	89	210	11	149
200424	104	163	89	211	11	149
200435	104	163	89	212	11	149
200446	104	163	89	213	11	149
200625	104	164	89	213	11	149
200636	104	165	89	213	11	149
200688	104	165	89	213	11	150
200700	104	165	89	213	11	151
200712	104	165	89	213	11	152
200827	104	165	89	214	11	152
202051	104	166	89	214	11	152
202099	104	166	89	214	11	153
202234	104	166	90	214	11	153
203414	105	166	90	214	11	153
203425	106	166	90	214	11	153
203642	106	166	90	215	11	153
203859	106	167	90	215	11	153
205048	106	167	91	215	11	153
205059	106	167	92	215	11	153
205231	107	167	92	215	11	153
205242	108	167	92	215	11	153
205253	109	167	92	215	11	153
206455	109	167	92	216	11	153
206466	109	167	92	217	11	153
206656	109	168	92	217	11	153
206705	109	168	92	217	11	154
206857	109	168	92	218	11	154
208063	109	168	93	218	11	154
