time	task_A	task_B	task_C
61902	270	260	255
62003	270	260	255
62104	271	261	256
62205	271	261	256
62306	272	262	257
62407	272	262	257
62508	272	262	257
62609	272	262	257
62710	273	263	258
62811	273	263	258
62912	274	264	259
63013	274	264	259
63114	275	265	260
63215	275	265	260
63316	276	266	261
63417	276	266	261
63518	277	267	262
63619	277	267	262
63720	278	268	263
63821	278	268	263
63922	279	269	264
64027	279	269	264
64128	279	269	264
64229	279	269	264
64330	280	270	265
64431	281	270	265
64532	281	271	266
64633	282	271	266
64734	282	272	267
64835	283	272	267
64936	283	273	268
65037	284	273	268
65138	284	274	269
65239	285	274	269
65340	285	275	269
65441	286	275	269
65542	286	276	270
65659	286	276	270
65760	286	276	270
65861	287	277	270
65962	287	277	271
66063	288	278	271
66164	288	278	272
66265	289	279	272
66366	289	279	273
66467	290	280	273
66568	290	280	274
66669	291	281	274
66770	291	281	275
66871	292	282	275
66972	292	282	276
67081	292	282	276
67182	292	282	276
67283	293	283	276
67384	293	283	277
67485	294	284	277
67586	294	284	278
67687	295	285	278
67788	295	285	279
67889	296	286	279
67990	296	286	280
68091	297	287	280
68192	297	287	281
68293	298	287	281
68394	298	287	281
68495	299	288	281
68596	299	288	282
68697	299	288	282
68798	299	288	282
68899	300	289	282
69000	300	289	283
69101	301	290	283
69202	301	290	284
69303	302	291	284
69404	302	291	285
69505	303	292	286
69606	303	292	286
69707	304	293	287
69808	304	293	287
69909	305	293	287
70010	305	293	287
70111	306	294	288
70212	306	294	288
70313	306	294	288
70414	306	294	288
70515	307	295	289
70616	307	295	289
70717	308	296	290
70818	308	296	290
70919	309	297	291
71020	309	297	291
71121	310	298	292
71222	310	298	292
71323	311	299	293
71424	311	299	293
71525	312	300	294
71626	312	300	294
71727	313	301	294
71828	313	301	294
71929	314	302	295
72030	314	302	295
72131	315	303	296
72232	315	303	296
72333	316	304	297
72434	316	304	297
72535	317	305	298
72636	317	305	298
72737	318	306	299
72838	318	306	299
72939	319	307	300
73040	319	307	300
73154	320	308	300
73255	320	308	300
73356	321	309	301
73457	321	309	301
73558	322	310	302
73659	322	310	302
73760	323	311	303
73861	323	311	303
73962	324	312	304
74063	324	312	304
74164	325	313	305
74265	325	313	305
74366	326	313	305
74467	326	313	305
74568	327	314	306
74669	327	314	306
74770	327	314	306
74871	327	314	306
74972	328	315	307
75073	328	315	307
75174	329	316	308
75275	329	316	308
75376	330	317	309
75477	330	317	309
75578	331	318	310
75679	331	318	310
75780	332	319	311
75881	332	319	311
75982	333	319	311
76083	333	319	311
76184	334	320	312
76285	334	320	312
76386	334	320	312
76487	335	320	312
76588	335	321	313
76689	336	321	313
76790	336	322	314
76891	337	322	314
76992	337	323	315
77093	338	323	315
77194	338	324	316
77295	339	324	316
77396	339	325	317
77497	340	325	317
77598	340	325	317
77699	341	325	317
77800	341	326	318
77901	342	326	318
78002	342	327	319
78103	343	327	319
78204	343	328	320
78305	344	328	320
78406	344	329	321
78507	345	329	321
78608	345	330	322
78709	346	330	322
78810	346	331	323
78911	347	331	323
79012	347	332	324
79113	348	332	324
79214	348	333	324
79315	349	333	324
79416	349	334	325
79517	350	334	325
79618	350	335	326
79719	351	335	326
79820	351	336	327
79921	352	336	327
80022	352	337	328
80123	353	337	328
80224	353	338	329
80325	354	338	329
80426	354	338	329
80527	355	338	329
80628	355	339	330
80729	355	339	330
80830	355	339	330
80931	356	339	330
81032	356	340	331
81133	357	340	331
81234	357	341	332
81335	358	341	332
81436	358	342	333
81537	359	342	333
81638	359	343	334
81739	360	344	334
81840	360	344	335
81941	360	344	335
82042	360	344	335
82143	361	345	335
82244	361	345	336
82345	361	345	336
82446	361	345	336
82547	362	346	336
82648	362	346	337
82749	363	347	337
82850	363	347	338
82951	364	348	338
83052	364	348	339
83153	365	349	339
83254	365	349	340
83355	366	350	340
83456	366	350	340
83557	367	351	340
83658	367	351	341
83759	367	351	341
83860	367	351	341
83961	368	352	341
84062	368	352	342
84163	369	353	342
84264	369	353	343
84365	370	354	343
84466	370	354	344
84567	371	355	344
84668	371	355	345
84769	372	356	345
84870	372	356	346
84971	372	356	346
85072	372	356	346
85173	373	357	346
85274	373	357	347
85375	373	357	347
85476	373	357	347
85577	374	358	347
85678	374	358	348
85779	375	359	348
85880	375	359	349
85981	376	360	349
86082	376	360	350
86183	377	361	350
86284	377	361	351
86385	378	362	351
86486	378	362	351
86587	379	363	351
86688	379	363	352
86789	379	363	352
86890	379	363	352
86991	380	364	352
87092	380	364	353
87193	381	365	354
87294	381	365	354
87395	382	366	355
87496	382	366	355
87597	383	367	356
87698	383	367	356
87799	384	368	357
87900	384	368	357
88001	385	369	358
88102	385	369	358
88203	385	369	358
88304	385	369	358
88405	386	370	359
88506	386	370	359
88607	387	371	360
88708	387	371	360
88809	388	372	361
88910	388	372	361
89011	389	373	362
89112	389	373	362
89213	390	374	363
89314	390	374	363
89415	391	375	364
89516	391	375	364
89617	392	376	364
89718	392	376	364
89819	393	377	365
89920	393	377	365
90021	394	378	366
90122	394	378	366
90223	395	379	367
90324	395	379	367
90425	396	380	368
90526	396	380	368
90627	397	381	369
90728	397	381	369
90829	398	382	370
90930	398	382	370
91031	399	383	371
91132	399	383	371
91233	399	383	371
91334	399	383	371
91435	400	384	372
91536	400	384	372
91637	401	385	373
91738	401	385	373
91839	402	386	374
91940	402	386	374
92041	403	387	375
92142	403	387	375
92243	404	388	376
92344	404	388	376
92445	405	388	376
92546	405	388	376
92647	406	389	377
92748	406	389	377
92849	406	389	377
92950	406	389	377
93051	407	390	378
93152	407	390	378
93253	408	391	379
93354	408	391	379
93455	409	392	380
93556	409	392	380
93657	410	393	381
93758	410	393	381
93859	411	394	382
93960	411	394	382
94061	412	394	382
94162	412	394	382
94263	413	395	383
94364	413	395	383
94465	413	395	383
94566	413	395	383
94667	414	396	384
94768	414	396	384
94869	415	397	385
94970	415	397	385
95071	416	398	386
95172	416	398	386
95273	417	399	387
95374	417	399	387
95475	418	400	388
95576	418	400	388
95677	419	401	389
95778	419	401	389
95879	420	402	390
95980	420	402	390
96081	421	403	391
96182	421	403	391
96283	422	404	392
96384	422	404	392
96485	423	405	393
96586	423	405	393
96687	424	406	394
96788	425	406	394
96889	425	407	395
96990	425	407	395
97091	425	407	395
97192	426	407	395
97293	426	408	396
97395	426	408	396
97496	426	408	396
97597	427	408	396
97698	427	409	397
97799	428	409	397
97900	428	410	398
98001	429	410	398
98102	429	411	399
98203	430	411	399
98304	430	412	400
98405	431	412	400
98506	431	413	401
98607	432	413	401
98708	432	414	402
98809	433	414	402
98910	433	415	402
99011	434	415	402
99112	434	416	403
99213	435	416	403
99314	435	417	404
99415	436	417	404
99516	436	418	405
99617	437	418	405
99718	437	419	406
99819	438	419	406
99920	438	420	407
100021	438	420	407
100122	438	420	407
100223	439	420	407
100324	439	421	408
100425	440	421	408
100526	440	422	409
100627	441	422	409
100728	441	423	410
100829	442	423	410
100930	442	424	411
101031	443	424	411
101132	443	425	412
101233	444	425	412
101334	444	426	413
101435	445	426	413
101536	445	427	414
101637	446	427	414
101738	446	428	415
101839	447	428	415
101940	447	429	415
102041	448	430	415
102142	448	430	416
102243	449	431	416
102344	449	431	417
102445	450	432	417
102546	450	432	418
102647	451	433	418
102748	451	433	419
102849	452	434	419
102950	452	434	420
103051	453	435	420
103152	453	435	421
103253	454	435	421
103354	454	436	422
103455	455	437	422
103556	455	437	423
103657	456	438	423
103758	456	438	424
103859	457	439	424
103960	457	439	425
104061	458	440	425
104162	458	440	426
104263	459	441	426
104364	459	441	427
104465	460	442	427
104566	460	442	428
104667	461	443	428
104768	461	443	429
104869	462	444	429
104970	462	444	430
105071	463	445	430
105172	463	445	431
105273	464	446	431
105374	464	446	432
105475	465	447	432
105576	465	447	433
105677	466	448	433
105778	466	448	434
105879	467	449	434
105980	467	449	435
106081	468	450	435
106182	468	450	435
106283	469	451	435
106384	469	451	436
106485	470	452	436
106586	470	452	437
106687	471	453	437
106788	471	453	438
106889	472	454	438
106990	472	454	439
107091	473	455	439
107192	473	455	440
107293	474	456	441
107394	474	456	441
107495	475	457	442
107596	475	457	442
107697	475	457	442
107798	475	457	442
107899	476	458	443
108000	476	458	443
108101	477	459	444
108202	477	459	444
108303	478	460	445
108404	478	460	445
108505	479	461	446
108606	479	461	446
108707	480	462	447
108808	480	462	447
108909	481	463	448
109010	481	463	448
109111	481	463	448
109212	481	463	448
109313	482	464	448
109414	482	464	449
109515	483	465	450
109616	483	465	450
109717	484	466	451
109818	484	466	451
109919	485	467	452
110020	485	467	452
110121	486	468	453
110222	486	468	453
110323	487	469	454
110424	487	469	454
110525	488	469	454
110626	488	469	454
110727	489	470	454
110828	489	470	455
110929	489	470	455
111030	489	470	455
111131	490	471	456
111232	490	471	456
111333	491	472	457
111434	491	472	457
111535	492	473	458
111636	492	473	458
111737	493	474	459
111838	493	474	459
111939	494	475	460
112040	494	475	460
112141	494	475	460
112242	494	475	460
112343	495	476	461
112444	495	476	461
112545	496	477	462
112646	496	477	462
112747	497	478	463
112848	497	478	463
112949	498	479	464
113050	498	479	464
113151	499	480	465
113252	499	480	465
113353	500	481	466
113454	500	481	466
113555	501	481	466
113656	501	481	466
113757	502	482	467
113858	502	482	467
113959	502	482	467
114060	502	482	467
114161	503	483	468
114262	503	483	468
114363	504	484	469
114464	504	484	469
114565	505	485	470
114666	505	485	470
114767	506	486	471
114868	506	486	471
114969	507	487	472
115070	507	487	472
115171	507	487	472
115272	507	487	472
115373	508	488	473
115474	508	488	473
115575	509	489	474
115676	509	489	474
115777	510	490	475
115878	510	490	475
115979	511	491	476
116080	511	491	476
116181	512	492	477
116282	512	492	477
116383	513	493	478
116484	513	493	478
116585	514	494	479
116687	514	494	479
116788	514	494	479
116889	515	494	479
116990	515	495	480
117091	516	495	480
117192	516	496	481
117293	517	496	481
117394	517	497	482
117495	518	497	482
117596	518	498	483
117697	519	498	483
117798	519	499	484
117899	520	499	484
118000	520	500	485
118101	521	500	485
118202	521	500	485
118303	522	500	485
118404	522	501	486
118505	523	501	486
118606	523	502	487
118707	524	502	487
118808	524	503	488
118909	525	503	488
119010	525	504	489
119111	526	504	489
119212	526	505	490
119313	527	505	490
119414	527	506	491
119515	528	506	491
119616	528	507	491
119717	529	507	491
119818	529	508	492
119919	529	508	492
120020	529	508	492
120121	530	508	492
120222	530	509	493
120323	531	509	493
120424	531	510	494
120525	532	510	494
120626	532	511	495
120727	533	511	495
120828	533	512	496
120929	534	512	496
121030	534	513	497
121131	534	513	497
121232	534	513	497
121333	535	513	497
121434	535	514	498
121535	536	514	498
121636	536	515	499
121737	537	515	499
121838	537	516	500
121939	538	517	500
122040	538	517	501
122141	539	518	501
122242	539	518	502
122343	540	519	502
122444	540	519	503
122545	540	519	503
122646	540	519	503
122747	541	520	503
122848	541	520	504
122949	542	521	504
123050	542	521	505
123151	543	522	505
123252	543	522	506
123353	544	523	506
123454	544	523	507
123555	545	524	507
123656	545	524	508
123757	546	525	508
123858	546	525	509
123959	547	525	509
124060	547	525	509
124161	548	526	509
124262	548	526	510
124363	548	526	510
124464	548	526	510
124565	549	527	510
124666	549	527	511
124767	550	528	511
124868	550	528	512
124969	551	529	512
125070	551	529	513
125171	552	530	513
125272	552	530	514
125373	553	531	514
125474	553	531	515
125575	554	532	515
125676	554	532	516
125777	554	532	516
125878	554	532	516
125979	555	533	516
126080	555	533	517
126181	556	534	517
126282	556	534	518
126383	557	535	518
126484	557	535	519
126585	558	536	519
126686	558	536	520
126787	559	537	520
126888	559	537	521
126989	560	538	521
127090	560	538	522
127191	561	539	522
127292	561	539	523
127393	562	540	523
127494	562	540	524
127595	563	541	525
127696	563	541	525
127797	564	542	526
127898	564	542	526
127999	565	543	527
128100	565	543	527
128201	566	544	528
128302	566	544	528
128403	567	545	529
128504	567	545	529
128605	568	546	530
128706	568	546	530
128807	568	546	530
128908	568	546	530
129009	569	547	531
129110	569	547	531
129211	570	548	532
129312	570	548	532
129413	571	549	533
129514	571	549	533
129615	572	550	534
129716	572	550	534
129817	573	551	535
129918	573	551	535
130019	573	551	535
130120	573	551	535
130221	574	552	536
130322	574	552	536
130423	574	552	536
130524	574	552	536
130625	575	553	537
130726	575	553	537
130827	576	554	538
130928	576	554	538
131029	577	555	539
131130	577	555	539
131231	578	556	540
131332	578	556	540
131433	579	557	541
131534	579	557	541
131635	580	558	542
131736	580	558	542
131837	580	558	542
131938	580	558	542
132039	581	559	543
132140	581	559	543
132241	582	560	544
132342	582	560	544
132443	583	561	545
132544	583	561	545
132645	584	562	546
132746	584	562	546
132847	585	563	547
132948	585	563	547
133049	586	564	548
133150	586	564	548
133251	586	564	548
133352	586	564	548
133453	587	565	549
133554	587	565	549
133655	588	566	550
133756	588	566	550
133857	589	567	551
133958	589	567	551
134059	590	568	552
134160	590	568	552
134261	591	569	553
134362	591	569	553
134463	592	570	554
134564	592	570	554
134665	593	571	554
134766	593	571	555
134867	594	572	555
134968	594	572	556
135069	595	573	557
135170	595	573	557
135271	596	574	558
135372	596	574	558
135473	597	575	559
135574	597	575	559
135675	598	576	560
135776	598	576	560
135877	599	577	561
135978	599	577	561
136079	600	578	562
136180	600	578	562
136281	600	578	562
136382	600	578	562
136483	601	579	563
136584	601	579	563
136685	602	580	564
136786	602	580	564
136887	603	581	565
136988	604	581	565
137089	604	582	566
137190	605	582	566
137291	605	583	567
137392	606	583	567
137493	606	584	567
137594	607	584	567
137695	607	585	568
137796	607	585	568
137897	607	585	568
137998	608	585	568
138099	608	586	569
138200	609	586	569
138301	609	587	570
138402	610	587	570
138503	610	588	571
138604	611	588	571
138705	611	589	572
138806	612	589	572
138907	612	590	573
139011	612	590	573
139112	612	590	573
139213	613	590	573
139314	613	591	574
139415	613	591	574
139516	613	591	574
139617	614	591	574
139718	614	592	575
139819	615	592	575
139920	615	593	576
140021	616	593	576
140122	616	594	577
140223	617	594	577
140324	617	595	578
140425	618	595	578
140526	618	596	579
140647	619	596	579
140748	619	596	579
140849	620	597	579
140950	620	597	580
141051	621	598	580
141152	621	598	581
141253	622	599	581
141354	622	599	582
141455	623	600	582
141556	623	600	583
141657	624	601	583
141758	624	601	584
141859	625	602	584
141960	625	602	585
142061	626	602	585
142162	626	602	585
142263	627	603	585
142364	627	603	586
142465	628	604	586
142566	628	604	587
142667	629	605	587
142768	629	605	588
142869	630	606	588
142970	630	606	589
143071	631	607	590
143172	631	607	590
143273	632	608	591
143374	632	608	591
143475	633	608	591
143576	633	608	591
143677	634	609	592
143778	634	609	592
143879	635	610	593
143980	635	610	593
144081	636	611	594
144182	636	611	594
144283	637	612	595
144384	637	612	595
144485	638	613	596
144586	638	613	596
144687	639	614	597
144788	639	614	597
144889	640	615	598
144990	640	615	598
145091	641	616	599
145192	641	616	599
145293	641	616	599
145394	641	616	599
145495	642	617	600
145596	642	617	600
145697	643	618	601
145798	643	618	601
145899	644	619	602
146000	644	619	602
146101	645	620	603
146202	645	620	603
146303	646	621	604
146404	646	621	604
146505	647	622	605
146606	647	622	605
146707	648	623	606
146808	648	623	606
146909	649	623	606
147010	649	623	606
147111	650	624	607
147212	650	624	607
147313	651	625	608
147414	651	625	608
147515	652	626	609
147616	652	626	609
147717	653	627	610
147818	653	627	610
147919	654	628	611
148020	654	628	611
148121	655	629	612
148222	655	629	612
148324	656	630	612
148425	656	630	612
148526	657	631	613
148627	657	631	613
148728	658	632	614
148829	658	632	614
148930	659	633	615
149031	659	633	615
149132	660	634	616
149233	660	634	616
149334	661	635	617
149435	661	635	617
149536	662	636	617
149637	662	636	618
149738	663	637	618
149839	663	637	618
149940	664	638	619
150041	664	638	619
150142	665	639	620
150243	665	639	620
150344	666	640	621
150445	666	640	621
150546	667	641	622
150647	667	641	622
150748	668	642	623
150849	668	642	623
150950	669	643	624
151059	669	643	624
151160	669	643	624
151261	669	643	624
151362	670	644	625
151463	671	644	625
151564	671	645	626
151665	672	645	626
151766	672	646	627
151867	673	646	627
151968	673	647	628
152069	674	647	628
152170	674	648	629
152271	675	648	629
152372	675	649	630
152473	676	649	630
152574	676	650	631
152675	676	650	631
152776	676	650	631
152877	677	650	631
152978	677	651	632
153079	678	651	632
153180	678	652	633
153281	679	652	633
153382	679	653	634
153483	680	653	634
153584	680	654	635
153685	681	654	635
153786	681	655	636
153887	682	655	636
153988	682	656	637
154089	683	656	637
154190	683	657	638
154291	684	657	638
154392	684	658	638
154493	685	658	638
154594	685	659	639
154695	686	659	639
154796	686	660	640
154897	687	660	640
154998	687	661	641
155099	688	661	641
155200	688	662	642
155301	689	662	642
155402	689	663	643
155503	690	663	643
155604	690	664	643
155705	691	664	643
155806	691	665	644
155907	691	665	644
156008	691	665	644
156109	692	665	644
156210	692	666	645
156311	693	666	645
156412	693	667	646
156513	694	667	646
156614	694	668	647
156715	695	669	647
156816	695	669	648
156917	696	670	648
157018	696	670	649
157119	697	670	649
