Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
293	false	0	261152	3	rbp
294	false	0	38082	2	r11
295	false	0	1274572	3	rdi
296	false	0	1631191	5	r9
297	false	0	1910002	7	rsp
298	false	0	1331160	9	rsp
299	false	0	1140878	4	r13
300	false	0	266719	3	r9
301	false	0	1326329	7	rdi
302	false	0	244943	7	rdi
303	false	0	398142	2	r11
304	false	0	575966	3	rbx
305	false	0	1583461	8	rdi
306	false	0	1529725	7	rcx
307	false	0	586340	8	rdx
308	false	0	1349281	4	rsp
309	false	0	1722098	4	rsp
310	false	0	1589864	6	r14
311	false	0	1853786	7	r15
312	false	0	782105	1	rdx
313	false	0	423185	7	rbx
314	false	0	995600	0	r12
315	false	0	401085	1	r9
316	false	0	1710304	0	r13
317	false	0	1750061	1	rcx
318	false	0	1707158	0	r10
319	false	0	885750	6	r12
320	false	0	1318240	2	rcx
321	false	0	1467302	2	rdx
322	false	0	1127179	3	r9
323	false	0	301105	1	rbp
324	false	0	981780	8	rbx
325	false	0	179025	3	rbx
326	false	0	341877	4	rax
327	false	0	802627	4	rax
328	false	0	1359352	1	rsp
329	false	0	1482598	8	r13
330	false	0	786077	7	rsi
331	false	0	732707	8	r9
332	false	0	318195	9	r11
333	false	0	1795911	1	r12
334	false	0	1203857	2	r10
335	false	0	1820046	4	r10
336	false	0	796954	2	r11
337	false	0	648668	4	r12
338	false	0	726966	1	rbx
339	false	0	1229444	9	r14
340	false	0	401396	7	rdx
341	false	0	163570	0	r14
342	false	0	607768	6	rcx
343	false	0	393365	9	r9
344	false	0	1649826	0	r10
345	false	0	490424	4	r14
346	false	0	925431	4	rdx
347	false	0	578726	7	rbp
348	false	0	375951	2	r14
349	false	0	610709	9	rdx
350	false	0	1904071	7	rbx
351	false	0	1671502	5	r15
352	false	0	461869	5	rdi
353	false	0	1057349	8	r14
354	false	0	532571	6	r8
355	false	0	786742	8	rsp
356	false	0	1078537	8	rsp
357	false	0	1062969	0	rsi
358	false	0	1552728	7	rbp
359	false	0	1596363	1	rdx
360	false	0	985176	1	rcx
361	false	0	747043	9	rsi
362	false	0	1727001	8	rbx
363	false	0	1454965	3	r13
364	false	0	1203294	5	r11
365	false	0	561057	2	r10
366	false	0	1902815	6	rdx
367	false	0	1646636	9	r8
368	false	0	1189330	8	r11
369	false	0	1196415	1	r12
370	false	0	1661474	0	r12
371	false	0	177366	8	r12
372	false	0	1256487	9	rbx
373	false	0	433792	5	rax
374	false	0	251576	6	rax
375	false	0	251576	6	rax
376	false	0	251576	6	r11
377	false	0	1211295	3	r8
378	false	0	1473687	6	r9
379	false	0	426690	9	r15
380	false	0	381425	8	rsp
